artistName,kind,primaryGenreName,trackName
Erick Sermon,song,Hip-Hop/Rap,Music
Madonna,song,Pop,Music
Journey,song,Rock,Don't Stop Believin' (2024 Remaster)
Jason Mraz,song,Pop,I'm Yours
Erick Sermon,song,Hip-Hop/Rap,Music
Madonna,music-video,Pop,Music
Shakira,song,Pop,Hips Don't Lie (feat. Wyclef Jean)
P!nk,song,Pop,Just Give Me a Reason (feat. Nate Ruess)
Fun.,song,Alternative,Some Nights
Madonna,song,Pop,Music
Foster the People,song,Alternative,Pumped Up Kicks
"Macklemore & Ryan Lewis, Macklemore & Ryan Lewis",song,Hip-Hop/Rap,Can't Hold Us (feat. Ray Dalton)
Mark Ronson,song,Pop,Uptown Funk (feat. Bruno Mars)
AWOLNATION,song,Alternative,Sail
Bruno Mars,song,Pop,When I Was Your Man
Ed Sheeran,song,Pop,Thinking Out Loud
Kelsea Ballerini,song,Country,Music
One Direction,song,Pop,What Makes You Beautiful
Christina Perri,song,Soundtrack,A Thousand Years
Kelly Clarkson,song,Pop,Stronger (What Doesn't Kill You)
Bruno Mars,song,Pop,Locked Out of Heaven
Nickelback,song,Rock,Rockstar
Hozier,song,Alternative,Take Me to Church
Wiz Khalifa,song,Hip-Hop/Rap,See You Again (feat. Charlie Puth)
DJ Snake & Lil Jon,song,Dance,Turn Down for What
Iyaz,song,Pop,Replay
Sara Bareilles,song,Singer/Songwriter,Love Song
Leona Lewis,song,Pop,Bleeding Love
Leela James,song,R&B/Soul,Music
Pitbull,song,Pop,Timber (feat. Ke$ha)
"Daft Punk, Pharrell Williams & Nile Rodgers",song,Pop,Get Lucky
A Great Big World & Christina Aguilera,song,Pop,Say Something
Brandy,song,R&B/Soul,Music
One Direction,song,Pop,Story of My Life
twenty one pilots,song,Alternative,Stressed Out
Jason Mraz,song,Pop,I Won't Give Up
Gnarls Barkley,song,Alternative,Crazy
Israel Kamakawiwo'ole,song,Worldwide,Somewhere Over the Rainbow
P!nk,song,Pop,Try
Daniel Powter,song,Rock,Bad Day
Carrie Underwood,song,Country,Blown Away
Bruno Mars,song,Soundtrack,It Will Rain
Ed Sheeran,song,Pop,Shape of You
Beyoncé,song,Pop,Drunk in Love (feat. Jay Z)
Flo Rida,song,Hip-Hop/Rap,Low (feat. T-Pain)
Britney Spears,song,Pop,Circus
Blake Shelton,song,Country,Boys 'Round Here (feat. Pistol Annies & Friends)
"Macklemore & Ryan Lewis, Macklemore & Ryan Lewis",song,Hip-Hop/Rap,Same Love (feat. Mary Lambert)
Meghan Trainor,song,Pop,Lips Are Movin
Panic! At the Disco,song,Alternative,I Write Sins Not Tragedies
Shinedown,song,Hard Rock,Second Chance
The Script,song,Pop,Breakeven (Falling to Pieces)
Sia,song,Pop,Chandelier
Jason Derulo,song,Pop,Ridin' Solo
Jordin Sparks & Chris Brown,song,Pop,No Air
Sean Kingston,song,Pop,Fire Burning
Flo Rida,song,Hip-Hop/Rap,"Club Can't Handle Me (feat. David Guetta) [From ""Step Up 3D""]"
Ed Sheeran,song,Pop,The A Team
Pitbull,song,Hip-Hop/Rap,I Know You Want Me (Calle Ocho) [More English Extended Mix]
Flo Rida,song,Hip-Hop/Rap,Right Round (feat. Ke$ha)
Flo Rida,song,Hip-Hop/Rap,My House
3OH!3,song,Alternative,Don't Trust Me
Meghan Trainor,song,Pop,All About That Bass
John Mayer,song,Pop,Waiting On the World to Change
Fun.,song,Alternative,We Are Young (feat. Janelle Monáe)
Ed Sheeran,song,Pop,Perfect
Tracy Chapman,song,Singer/Songwriter,Fast Car
Waka Flocka Flame,song,Hip-Hop/Rap,No Hands (feat. Roscoe Dash & Wale)
Metro Station,song,Alternative,Shake It
MAGIC!,song,Pop,Rude
Adele,song,Pop,Skyfall
Journey,song,Rock,Faithfully (2024 Remaster)
Bruno Mars,song,Pop,Treasure
Buckcherry,song,Hard Rock,Crazy Bitch
The Script,song,Pop,Hall of Fame (feat. will.i.am)
Ed Sheeran,song,Pop,Don't
Nickelback,song,Rock,If Today Was Your Last Day
Fun.,song,Alternative,Carry On
Jason Mraz & Colbie Caillat,song,Pop,Lucky
Michael Jackson,song,Pop,Man In the Mirror
Green Day,song,Alternative,21 Guns
CeeLo Green,song,R&B/Soul,Fuck You
twenty one pilots,song,Alternative,Tear In My Heart
John Mayer,song,Pop,Say
DJ Khaled,song,Hip-Hop/Rap,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)"
B.o.B,song,Hip-Hop/Rap,Magic (feat. Rivers Cuomo)
Bruno Mars,song,Pop,24K Magic
Beyoncé,song,Pop,Partition
Kelly Clarkson,song,Pop,My Life Would Suck Without You
Cupid,song,R&B/Soul,Cupid Shuffle
Fort Minor,song,Hip-Hop/Rap,Remember the Name (feat. Styles of Beyond)
Meghan Trainor,song,Pop,Like I'm Gonna Lose You (feat. John Legend)
